user_activity,environmental_brightness,theme,layout,font_size,likert_sum,binarized_output
ON_FOOT,93,light-theme,largeCards,small-font,3,0
STILL,0,light-theme,xLargeCards,small-font,5,0
STILL,0,light-theme,xLargeCards,small-font,5,0
STILL,0,light-theme,largeCards,small-font,6,1
STILL,0,light-theme,largeCards,small-font,3,0
STILL,117,light-theme,xLargeCards,small-font,3,0
STILL,19,light-theme,xLargeCards,small-font,2,0
ON_FOOT,0,light-theme,largeCards,large-font,4,0
STILL,87,light-theme,xLargeCards,large-font,4,0
STILL,61,light-theme,xLargeCards,large-font,3,0
STILL,17,light-theme,largeCards,small-font,5,0
ON_FOOT,20,light-theme,largeCards,small-font,4,0
STILL,2,light-theme,largeCards,small-font,4,0
STILL,1,light-theme,largeCards,small-font,5,0
STILL,1,light-theme,largeCards,small-font,5,0
ON_FOOT,221,light-theme,largeCards,small-font,3,0
ON_FOOT,174,light-theme,largeCards,small-font,3,0
STILL,0,light-theme,xLargeCards,small-font,4,0
ON_FOOT,93,dark-theme,largeCards,large-font,3,0
ON_FOOT,26,light-theme,largeCards,small-font,4,0
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,64,dark-theme,xLargeCards,small-font,3,0
STILL,0,dark-theme,xLargeCards,large-font,6,1
STILL,57,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,11,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,17,dark-theme,xLargeCards,small-font,3,0
STILL,17,dark-theme,xLargeCards,small-font,3,0
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,103,light-theme,largeCards,large-font,5,0
STILL,88,light-theme,largeCards,large-font,6,1
STILL,93,light-theme,largeCards,small-font,5,0
STILL,137,light-theme,largeCards,large-font,3,0
STILL,33,light-theme,largeCards,large-font,5,0
STILL,38,light-theme,largeCards,large-font,4,0
STILL,35,light-theme,largeCards,large-font,5,0
ON_FOOT,270,dark-theme,largeCards,small-font,2,0
STILL,84,light-theme,largeCards,large-font,4,0
STILL,90,dark-theme,xLargeCards,large-font,5,0
STILL,91,light-theme,xLargeCards,large-font,3,0
STILL,73,light-theme,xLargeCards,small-font,4,0
STILL,71,dark-theme,xLargeCards,small-font,3,0
STILL,71,dark-theme,xLargeCards,large-font,4,0
STILL,73,dark-theme,xLargeCards,large-font,6,1
STILL,142,light-theme,xLargeCards,large-font,5,0
STILL,141,light-theme,xLargeCards,large-font,1,0
STILL,27,dark-theme,largeCards,large-font,3,0
STILL,25,light-theme,largeCards,small-font,5,0
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,167,dark-theme,xLargeCards,large-font,3,0
STILL,167,light-theme,xLargeCards,large-font,3,0
STILL,167,dark-theme,xLargeCards,large-font,0,0
STILL,167,light-theme,xLargeCards,large-font,4,0
STILL,167,light-theme,xLargeCards,small-font,4,0
STILL,148,dark-theme,xLargeCards,small-font,5,0
STILL,4,light-theme,largeCards,large-font,6,1
STILL,16,light-theme,largeCards,large-font,6,1
STILL,4,dark-theme,xLargeCards,large-font,4,0
IN_VEHICLE,384,dark-theme,largeCards,large-font,-6,0
ON_FOOT,192,dark-theme,xLargeCards,small-font,-6,0
ON_FOOT,384,dark-theme,xLargeCards,large-font,-6,0
STILL,470,dark-theme,largeCards,large-font,6,1
STILL,192,dark-theme,xLargeCards,small-font,-6,0
STILL,437,dark-theme,xLargeCards,large-font,-6,0
IN_VEHICLE,206,dark-theme,xLargeCards,large-font,-6,0
ON_FOOT,199,dark-theme,xLargeCards,small-font,-6,0
IN_VEHICLE,809,dark-theme,xLargeCards,large-font,-3,0
IN_VEHICLE,159,dark-theme,largeCards,large-font,-6,0
IN_VEHICLE,855,dark-theme,largeCards,small-font,-6,0
IN_VEHICLE,650,dark-theme,xLargeCards,small-font,-6,0
IN_VEHICLE,782,dark-theme,largeCards,small-font,5,0
IN_VEHICLE,616,dark-theme,xLargeCards,small-font,-6,0
IN_VEHICLE,132,dark-theme,xLargeCards,small-font,-6,0
IN_VEHICLE,119,dark-theme,xLargeCards,large-font,-6,0
IN_VEHICLE,146,dark-theme,xLargeCards,small-font,-6,0
IN_VEHICLE,146,dark-theme,xLargeCards,large-font,-6,0
IN_VEHICLE,683,dark-theme,xLargeCards,small-font,-4,0
IN_VEHICLE,212,light-theme,xLargeCards,large-font,-6,0
IN_VEHICLE,603,dark-theme,xLargeCards,large-font,-6,0
IN_VEHICLE,126,dark-theme,largeCards,small-font,-6,0
STILL,11,light-theme,largeCards,large-font,6,1
STILL,11,light-theme,largeCards,large-font,6,1
STILL,3,light-theme,xLargeCards,large-font,3,0
STILL,5,light-theme,xLargeCards,large-font,3,0
STILL,12,light-theme,largeCards,small-font,6,1
STILL,14,light-theme,largeCards,small-font,6,1
STILL,142,dark-theme,xLargeCards,large-font,3,0
STILL,163,dark-theme,xLargeCards,large-font,3,0
STILL,160,light-theme,largeCards,large-font,6,1
STILL,115,dark-theme,largeCards,large-font,3,0
STILL,53,dark-theme,largeCards,small-font,6,1
STILL,178,dark-theme,largeCards,small-font,6,1
STILL,149,light-theme,largeCards,large-font,4,0
STILL,195,dark-theme,largeCards,large-font,5,0
STILL,194,dark-theme,largeCards,large-font,5,0
STILL,174,dark-theme,xLargeCards,large-font,0,0
STILL,174,dark-theme,xLargeCards,large-font,5,0
STILL,186,dark-theme,largeCards,large-font,4,0
ON_FOOT,23,dark-theme,largeCards,large-font,3,0
STILL,148,light-theme,largeCards,small-font,5,0
STILL,85,light-theme,largeCards,small-font,4,0
STILL,87,light-theme,largeCards,small-font,5,0
STILL,234,dark-theme,largeCards,small-font,4,0
STILL,229,light-theme,largeCards,small-font,1,0
STILL,25,light-theme,largeCards,large-font,6,1
STILL,157,light-theme,largeCards,small-font,4,0
STILL,155,light-theme,largeCards,small-font,2,0
STILL,102,light-theme,largeCards,small-font,6,1
STILL,102,light-theme,largeCards,small-font,6,1
STILL,15,light-theme,largeCards,large-font,4,0
STILL,16,dark-theme,largeCards,large-font,4,0
STILL,15,dark-theme,largeCards,small-font,5,0
STILL,15,dark-theme,largeCards,large-font,4,0
STILL,13,dark-theme,largeCards,large-font,6,1
STILL,13,dark-theme,largeCards,large-font,0,0
STILL,15,light-theme,xLargeCards,small-font,6,1
ON_FOOT,44,dark-theme,xLargeCards,large-font,6,1
STILL,16,dark-theme,largeCards,small-font,4,0
STILL,84,dark-theme,largeCards,large-font,6,1
STILL,2,light-theme,largeCards,large-font,6,1
STILL,2,light-theme,largeCards,large-font,6,1
STILL,21,light-theme,xLargeCards,large-font,6,1
STILL,20,light-theme,xLargeCards,small-font,3,0
STILL,0,light-theme,largeCards,large-font,2,0
STILL,0,light-theme,largeCards,large-font,1,0
