user_activity,environmental_brightness,theme,layout,font_size,preference,informativness,readability,likert_sum,binarized_output
ON_FOOT,11763,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,6274,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,9403,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,12858,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,81,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,85,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,80,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,11,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
STILL,7,withImages,dark-theme,largeCards,small-font,1,0,0,1,0
STILL,7,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
STILL,8,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
STILL,8,withImages,dark-theme,xLargeCards,large-font,1,0,0,1,0
STILL,8,withImages,dark-theme,xLargeCards,small-font,1,1,0,2,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,light-theme,largeCards,small-font,2,1,1,4,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,2,4,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,1,1,4,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,-1,0,-2,-3,0
STILL,6,withImages,dark-theme,largeCards,large-font,-1,1,1,1,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
IN_VEHICLE,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,147,withImages,light-theme,xLargeCards,large-font,1,1,2,4,0
STILL,438,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,389,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,1,withImages,dark-theme,largeCards,large-font,0,1,-1,0,0
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,16,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,1,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,2,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,8,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,69,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
