user_activity,environmental_brightness,screen_brightness,time_of_day,internet_speed, battery_level,images,theme, layout,font_size,reference, readability,informativness
STILL,83,230,22,1,53,withImages,light-theme,miniCards,large-font,-1,1,-1
STILL,70,230,22,1,53,withImages,light-theme,miniCards,large-font,0,0,1
STILL,16,230,22,0,53,noImages,light-theme,largeCards,small-font,1,2,1
STILL,16,230,22,1,53,noImages,light-theme,largeCards,small-font,0,1,1
STILL,16,230,22,1,53,withImages,light-theme,largeCards,small-font,1,0,0
STILL,0,125,2,1,58,withImages,light-theme,largeCards,large-font,2,2,2
STILL,0,125,2,1,57,withImages,light-theme,largeCards,large-font,2,2,2
STILL,1,230,7,0,48,noImages,dark-theme,largeCards,small-font,2,1,1
STILL,3,230,7,0,48,noImages,dark-theme,largeCards,small-font,2,1,1
STILL,6,230,7,0,48,noImages,dark-theme,largeCards,large-font,2,1,2
STILL,0,135,10,1,58,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,135,10,1,57,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,135,10,1,57,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,135,10,1,57,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,135,10,1,57,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,10,1,57,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,102,219,11,1,60,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,86,219,11,1,60,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,86,219,11,1,60,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,9,135,12,0,41,withImages,light-theme,miniCards,small-font,2,2,2
STILL,9,135,12,0,41,withImages,light-theme,miniCards,small-font,2,2,2
STILL,75,35,12,2,30,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,77,35,12,2,30,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,59,35,12,2,29,withImages,light-theme,largeCards,large-font,2,2,2
STILL,108,35,12,2,28,withImages,light-theme,largeCards,large-font,2,2,2
STILL,66,35,12,2,28,withImages,light-theme,gridView,small-font,0,0,-1
STILL,50,230,12,1,99,withImages,dark-theme,xLargeCards,large-font,1,2,1
STILL,49,230,12,1,99,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,68,35,13,2,65,withImages,dark-theme,xLargeCards,large-font,0,1,1
IN_VEHICLE,58,35,13,2,65,withImages,light-theme,xLargeCards,large-font,2,1,2
IN_VEHICLE,95,35,13,2,65,withImages,light-theme,xLargeCards,large-font,1,2,2
IN_VEHICLE,94,35,13,2,65,withImages,light-theme,gridView,small-font,0,0,-1
IN_VEHICLE,69,35,13,2,65,withImages,light-theme,gridView,small-font,1,-1,0
IN_VEHICLE,92,35,13,2,65,noImages,dark-theme,largeCards,small-font,-2,-2,-1
ON_FOOT,73,35,13,2,65,noImages,dark-theme,largeCards,small-font,-2,-2,-2
ON_FOOT,92,35,13,2,65,noImages,dark-theme,largeCards,small-font,-2,-2,-2
ON_FOOT,78,35,13,2,65,noImages,dark-theme,largeCards,large-font,-1,-1,-1
IN_VEHICLE,88,35,13,2,65,noImages,dark-theme,largeCards,large-font,-1,-1,-1
IN_VEHICLE,85,35,13,2,65,noImages,light-theme,xLargeCards,large-font,-2,-2,-2
STILL,111,35,13,2,65,noImages,light-theme,xLargeCards,large-font,-2,-2,-2
ON_FOOT,80,35,13,2,65,withImages,light-theme,gridView,small-font,0,0,0
IN_VEHICLE,87,35,13,2,65,withImages,light-theme,gridView,small-font,0,0,-1
ON_FOOT,88,35,13,2,65,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,83,35,13,2,64,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,91,35,14,2,64,noImages,light-theme,largeCards,small-font,-2,-1,-2
IN_VEHICLE,114,35,14,2,64,noImages,light-theme,largeCards,small-font,-1,-1,-2
IN_VEHICLE,72,35,14,2,64,withImages,dark-theme,xLargeCards,large-font,1,1,1
IN_VEHICLE,61,35,14,2,64,withImages,dark-theme,xLargeCards,large-font,1,2,1
IN_VEHICLE,90,35,14,2,64,noImages,light-theme,xLargeCards,small-font,-2,-1,-2
STILL,101,35,14,2,64,noImages,light-theme,xLargeCards,small-font,-2,-2,-1
STILL,88,35,14,2,64,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,57,35,14,2,64,noImages,dark-theme,xLargeCards,small-font,-1,-1,-1
IN_VEHICLE,51,35,14,2,64,noImages,dark-theme,largeCards,small-font,-1,-2,0
ON_FOOT,56,35,14,2,64,noImages,dark-theme,largeCards,small-font,-1,-1,-1
IN_VEHICLE,97,35,14,2,64,noImages,dark-theme,xLargeCards,small-font,-2,-2,-1
ON_FOOT,91,35,14,2,64,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,56,35,14,2,64,noImages,dark-theme,largeCards,small-font,-1,-1,-1
ON_FOOT,71,35,14,2,64,noImages,dark-theme,largeCards,small-font,-1,0,-1
ON_FOOT,34,35,14,2,63,withImages,light-theme,miniCards,large-font,1,1,1
ON_FOOT,99,35,14,2,63,withImages,light-theme,miniCards,large-font,1,1,2
ON_FOOT,86,35,14,2,63,noImages,dark-theme,largeCards,large-font,-1,0,-1
STILL,365,135,14,1,27,withImages,light-theme,miniCards,small-font,1,2,1
ON_FOOT,69,35,14,2,63,noImages,dark-theme,largeCards,large-font,-1,-1,-1
IN_VEHICLE,426,135,14,1,27,withImages,light-theme,miniCards,small-font,1,2,1
STILL,62,35,14,2,63,withImages,light-theme,xLargeCards,large-font,2,2,1
IN_VEHICLE,62,35,14,2,63,withImages,light-theme,xLargeCards,large-font,2,1,2
IN_VEHICLE,117,135,14,1,26,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,63,35,14,2,63,noImages,light-theme,largeCards,small-font,0,0,0
IN_VEHICLE,27,35,14,2,63,noImages,light-theme,largeCards,small-font,2,2,2
ON_FOOT,41,35,14,2,63,withImages,light-theme,miniCards,large-font,1,1,1
ON_FOOT,137,35,14,2,63,withImages,light-theme,miniCards,large-font,1,1,1
IN_VEHICLE,19,35,14,2,63,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,68,35,14,2,63,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,341,35,14,2,63,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,218,35,14,2,63,withImages,light-theme,xLargeCards,small-font,1,2,2
IN_VEHICLE,1587,135,14,1,24,withImages,light-theme,miniCards,small-font,1,1,1
STILL,184,35,14,2,63,withImages,light-theme,xLargeCards,small-font,1,2,1
IN_VEHICLE,888,135,14,1,24,withImages,light-theme,largeCards,small-font,2,2,2
IN_VEHICLE,315,35,14,2,62,noImages,light-theme,largeCards,small-font,-1,0,0
STILL,620,135,14,1,24,withImages,light-theme,largeCards,small-font,2,2,2
STILL,271,35,14,2,62,noImages,light-theme,largeCards,small-font,0,0,0
ON_FOOT,681,135,14,1,24,withImages,light-theme,largeCards,large-font,2,2,2
STILL,60,35,14,2,62,noImages,dark-theme,xLargeCards,small-font,-1,-2,-2
STILL,61,35,14,2,62,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
STILL,257,135,14,1,24,withImages,light-theme,largeCards,large-font,2,2,2
ON_FOOT,2659,35,14,2,62,withImages,light-theme,largeCards,large-font,2,2,2
STILL,229,135,14,1,23,withImages,light-theme,largeCards,small-font,2,2,2
ON_FOOT,348,135,14,1,22,withImages,light-theme,largeCards,small-font,2,2,1
STILL,790,90,14,2,61,withImages,light-theme,largeCards,small-font,1,1,1
ON_FOOT,2443,90,14,2,61,withImages,light-theme,largeCards,small-font,1,1,1
STILL,129,230,15,1,89,noImages,light-theme,xLargeCards,small-font,2,2,2
STILL,4,125,17,1,98,noImages,dark-theme,largeCards,large-font,0,0,1
STILL,13,230,17,1,64,noImages,dark-theme,largeCards,small-font,0,1,2
STILL,12,230,17,1,64,noImages,dark-theme,largeCards,small-font,1,0,1
STILL,13,230,17,1,63,withImages,light-theme,xLargeCards,large-font,1,0,1
STILL,13,230,17,1,63,withImages,light-theme,xLargeCards,large-font,0,1,-1
STILL,13,230,17,1,63,withImages,light-theme,largeCards,large-font,1,1,1
STILL,10,230,17,1,63,withImages,light-theme,largeCards,large-font,-1,2,0
STILL,4,125,17,1,94,noImages,dark-theme,largeCards,large-font,1,1,1
STILL,871,90,17,2,60,withImages,light-theme,largeCards,large-font,2,2,2
STILL,923,90,17,2,60,withImages,light-theme,largeCards,large-font,2,2,2
ON_FOOT,982,90,17,2,60,withImages,dark-theme,miniCards,small-font,-1,0,0
ON_FOOT,876,90,17,2,60,withImages,dark-theme,miniCards,small-font,-1,0,-1
STILL,789,90,17,2,60,withImages,light-theme,xLargeCards,large-font,1,1,1
STILL,865,90,17,2,60,withImages,light-theme,xLargeCards,large-font,2,2,2
IN_VEHICLE,13,90,19,2,53,withImages,light-theme,largeCards,large-font,2,2,2
IN_VEHICLE,19,90,19,2,53,withImages,light-theme,largeCards,large-font,2,2,2
IN_VEHICLE,14,90,19,2,50,withImages,dark-theme,miniCards,small-font,1,1,0
IN_VEHICLE,11,90,19,2,49,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,0,90,20,2,32,withImages,dark-theme,largeCards,large-font,1,1,1
STILL,0,90,20,2,32,withImages,dark-theme,largeCards,large-font,1,1,2
STILL,0,90,20,2,31,withImages,dark-theme,largeCards,large-font,1,1,2
ON_FOOT,0,90,20,2,31,withImages,dark-theme,largeCards,large-font,2,2,2
ON_FOOT,0,90,20,2,31,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,13,90,10,2,67,withImages,dark-theme,largeCards,large-font,2,1,1
STILL,13,90,10,2,67,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,0,230,11,2,35,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,35,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,35,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,35,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,34,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,34,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,34,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,11,2,34,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,2,230,16,1,99,withImages,dark-theme,miniCards,small-font,2,2,2
STILL,8,230,16,1,97,withImages,dark-theme,miniCards,small-font,2,2,2
ON_FOOT,136,133,22,2,24,withImages,dark-theme,xLargeCards,small-font,2,2,2
ON_FOOT,107,115,23,2,17,withImages,light-theme,largeCards,small-font,2,2,2
ON_FOOT,93,115,23,2,16,withImages,light-theme,largeCards,small-font,1,1,1
STILL,0,90,0,2,36,withImages,light-theme,xLargeCards,small-font,2,2,1
STILL,0,90,0,2,35,withImages,light-theme,xLargeCards,small-font,2,2,1
STILL,0,90,0,2,35,withImages,light-theme,largeCards,small-font,2,2,2
STILL,0,90,0,2,35,withImages,light-theme,largeCards,small-font,0,1,2
STILL,178,230,4,0,49,withImages,dark-theme,miniCards,small-font,1,1,2
STILL,117,230,4,1,49,withImages,dark-theme,miniCards,small-font,2,0,2
STILL,117,230,4,1,48,withImages,light-theme,xLargeCards,small-font,2,1,0
STILL,19,230,4,1,48,withImages,light-theme,xLargeCards,small-font,1,0,1
ON_FOOT,0,40,13,2,88,withImages,light-theme,largeCards,large-font,1,1,2
STILL,87,230,16,1,40,withImages,light-theme,xLargeCards,large-font,1,2,1
STILL,14,125,16,1,67,noImages,light-theme,xLargeCards,large-font,0,1,1
STILL,61,230,16,0,38,withImages,light-theme,xLargeCards,large-font,2,1,0
STILL,61,230,16,0,38,noImages,dark-theme,xLargeCards,small-font,0,1,2
STILL,61,230,16,0,38,noImages,dark-theme,xLargeCards,small-font,0,1,2
STILL,59,230,16,0,38,noImages,dark-theme,xLargeCards,small-font,-1,1,2
ON_FOOT,18,125,16,1,65,noImages,light-theme,xLargeCards,large-font,0,1,1
STILL,17,105,17,2,71,withImages,light-theme,largeCards,small-font,2,2,1
ON_FOOT,20,87,17,2,71,withImages,light-theme,largeCards,small-font,1,2,1
STILL,2,77,17,2,78,withImages,light-theme,largeCards,small-font,1,1,2
STILL,1,77,17,2,78,withImages,light-theme,largeCards,small-font,2,1,2
STILL,1,77,17,2,77,withImages,light-theme,largeCards,small-font,1,2,2
ON_FOOT,72,255,18,2,94,noImages,light-theme,xLargeCards,small-font,1,1,1
ON_FOOT,221,255,18,2,93,withImages,light-theme,largeCards,small-font,1,1,1
ON_FOOT,174,255,18,2,93,withImages,light-theme,largeCards,small-font,1,1,1
STILL,102,230,20,1,100,withImages,dark-theme,miniCards,large-font,1,1,1
STILL,78,230,20,1,100,withImages,dark-theme,miniCards,large-font,1,1,0
STILL,71,230,20,1,100,withImages,light-theme,gridView,small-font,1,0,2
STILL,0,77,22,2,67,withImages,light-theme,xLargeCards,small-font,2,1,1
ON_FOOT,93,255,23,2,87,withImages,dark-theme,largeCards,large-font,1,1,1
ON_FOOT,99,255,23,2,86,withImages,dark-theme,gridView,small-font,1,1,1
ON_FOOT,115,255,23,2,86,withImages,dark-theme,miniCards,large-font,2,2,2
ON_FOOT,26,127,23,2,30,withImages,light-theme,largeCards,small-font,1,1,2
ON_FOOT,0,230,1,1,19,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,0,230,1,1,19,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,64,125,2,1,54,withImages,dark-theme,xLargeCards,small-font,1,1,1
STILL,0,125,2,1,53,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,57,125,2,1,53,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,55,125,2,1,53,noImages,dark-theme,largeCards,small-font,-1,-1,-1
ON_FOOT,11,125,2,1,53,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,230,2,1,18,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,230,2,1,18,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,230,2,1,18,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,2,1,18,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,17,230,4,1,88,withImages,dark-theme,xLargeCards,small-font,1,0,2
STILL,17,230,4,1,88,withImages,dark-theme,xLargeCards,small-font,1,2,0
STILL,17,230,4,1,87,noImages,dark-theme,largeCards,large-font,1,1,1
STILL,0,230,10,1,1,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,10,1,1,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,230,10,1,1,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,0,230,10,1,1,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,103,77,11,2,26,withImages,light-theme,largeCards,large-font,2,2,1
STILL,88,77,11,2,26,withImages,light-theme,largeCards,large-font,2,2,2
STILL,93,77,11,2,26,withImages,light-theme,largeCards,small-font,2,2,1
STILL,137,230,4,1,47,withImages,light-theme,largeCards,large-font,1,0,2
STILL,33,77,11,2,46,withImages,light-theme,largeCards,large-font,2,2,1
STILL,38,77,11,2,46,withImages,light-theme,largeCards,large-font,1,2,1
STILL,35,77,11,2,45,withImages,light-theme,largeCards,large-font,1,2,2
ON_FOOT,270,34,12,2,36,withImages,dark-theme,largeCards,small-font,2,0,0
STILL,84,230,15,1,29,withImages,light-theme,largeCards,large-font,1,1,2
STILL,209,230,15,1,28,noImages,light-theme,largeCards,large-font,1,1,1
STILL,206,230,15,1,28,noImages,light-theme,largeCards,small-font,1,2,1
STILL,204,230,15,1,28,noImages,light-theme,largeCards,small-font,1,1,2
STILL,60,230,15,1,27,noImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,86,230,17,1,13,noImages,dark-theme,xLargeCards,large-font,1,-1,2
STILL,90,230,17,1,13,withImages,dark-theme,xLargeCards,large-font,2,1,2
STILL,91,230,17,0,13,withImages,light-theme,xLargeCards,large-font,1,1,1
STILL,73,230,17,0,13,withImages,light-theme,xLargeCards,small-font,1,2,1
STILL,71,230,17,0,13,withImages,dark-theme,xLargeCards,small-font,0,1,2
STILL,71,230,17,0,13,withImages,dark-theme,xLargeCards,large-font,1,2,1
STILL,73,230,17,1,13,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,142,230,4,1,78,noImages,light-theme,xLargeCards,large-font,1,1,1
STILL,142,230,4,1,78,withImages,light-theme,xLargeCards,large-font,2,1,2
STILL,141,230,4,1,78,withImages,light-theme,xLargeCards,large-font,0,1,0
STILL,140,230,4,1,78,withImages,light-theme,miniCards,large-font,0,1,0
STILL,48,230,4,1,77,withImages,dark-theme,miniCards,large-font,0,0,0
STILL,18,230,4,1,77,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,27,230,4,1,77,withImages,dark-theme,largeCards,large-font,1,1,1
STILL,25,61,10,2,71,withImages,light-theme,largeCards,small-font,1,2,2
STILL,44,124,12,2,75,withImages,light-theme,gridView,small-font,2,2,2
ON_FOOT,15,255,23,2,47,withImages,light-theme,miniCards,large-font,2,2,2
ON_FOOT,13,255,23,2,47,withImages,light-theme,miniCards,large-font,2,2,2
STILL,20,125,1,1,49,withImages,dark-theme,miniCards,large-font,2,2,2
STILL,0,230,2,1,63,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,230,2,1,63,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,230,2,2,63,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,230,2,2,63,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,169,230,4,0,96,noImages,light-theme,xLargeCards,large-font,1,0,2
STILL,169,230,4,1,96,noImages,dark-theme,xLargeCards,large-font,-1,0,0
STILL,167,230,4,0,96,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,167,230,4,0,95,withImages,light-theme,xLargeCards,large-font,1,1,1
STILL,167,230,4,0,95,withImages,dark-theme,xLargeCards,large-font,0,0,0
STILL,167,230,4,0,95,withImages,light-theme,xLargeCards,large-font,1,2,1
STILL,167,230,4,1,95,withImages,light-theme,xLargeCards,small-font,1,2,1
STILL,148,230,4,1,95,withImages,dark-theme,xLargeCards,small-font,2,1,2
STILL,4,124,9,1,20,withImages,light-theme,largeCards,large-font,2,2,2
STILL,16,124,9,1,20,withImages,light-theme,largeCards,large-font,2,2,2
STILL,4,124,9,1,20,withImages,dark-theme,xLargeCards,large-font,1,1,2
IN_VEHICLE,133,255,10,2,87,withImages,light-theme,gridView,small-font,-2,-2,-2
IN_VEHICLE,451,255,10,2,87,withImages,dark-theme,gridView,small-font,-2,-2,-2
IN_VEHICLE,391,255,10,2,87,withImages,dark-theme,miniCards,large-font,-2,-2,-2
IN_VEHICLE,384,255,10,2,87,withImages,dark-theme,largeCards,large-font,-2,-2,-2
ON_FOOT,431,255,10,2,87,withImages,dark-theme,miniCards,large-font,1,1,1
ON_FOOT,205,255,10,2,87,noImages,light-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,192,255,10,2,86,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,192,255,10,2,86,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,185,255,10,2,86,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,199,255,10,2,86,noImages,dark-theme,xLargeCards,large-font,-2,-2,-2
ON_FOOT,384,255,10,2,86,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2
STILL,470,255,10,2,86,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,192,255,10,2,86,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
STILL,437,255,10,2,86,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,782,255,10,2,86,withImages,dark-theme,gridView,small-font,0,0,0
IN_VEHICLE,192,255,10,2,86,noImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,206,255,10,2,86,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2
ON_FOOT,199,255,10,2,86,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,809,255,10,2,86,withImages,dark-theme,xLargeCards,large-font,-1,-1,-1
IN_VEHICLE,159,255,10,2,86,withImages,dark-theme,largeCards,large-font,-2,-2,-2
IN_VEHICLE,855,255,10,2,86,withImages,dark-theme,largeCards,small-font,-2,-2,-2
IN_VEHICLE,796,255,10,2,86,withImages,dark-theme,miniCards,small-font,1,0,1
IN_VEHICLE,650,255,10,2,86,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,782,255,10,2,85,withImages,dark-theme,largeCards,small-font,2,1,2
IN_VEHICLE,722,255,10,2,85,withImages,dark-theme,gridView,small-font,-2,-2,-2
IN_VEHICLE,616,255,10,2,85,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,517,255,10,2,85,withImages,dark-theme,miniCards,small-font,-2,-2,-2
IN_VEHICLE,132,255,10,2,85,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,119,255,10,2,85,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,146,255,10,2,85,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,146,255,10,2,85,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,683,255,10,2,85,withImages,dark-theme,xLargeCards,small-font,-1,-2,-1
IN_VEHICLE,212,255,10,2,85,withImages,light-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,603,255,10,2,85,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,205,255,10,2,85,withImages,dark-theme,miniCards,large-font,-2,-2,-2
IN_VEHICLE,656,255,10,2,85,noImages,dark-theme,largeCards,large-font,-2,-2,-2
IN_VEHICLE,537,255,10,2,85,noImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,596,255,10,2,85,noImages,dark-theme,largeCards,large-font,-1,0,-1
IN_VEHICLE,159,255,10,2,85,withImages,dark-theme,miniCards,small-font,-2,-2,-2
IN_VEHICLE,517,255,10,2,85,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,577,255,10,2,84,noImages,dark-theme,largeCards,small-font,-1,-1,-1
IN_VEHICLE,126,255,10,2,84,withImages,dark-theme,largeCards,small-font,-2,-2,-2
IN_VEHICLE,616,255,10,2,84,noImages,dark-theme,largeCards,small-font,-2,-2,-2
IN_VEHICLE,186,255,10,2,84,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,179,255,10,2,84,noImages,dark-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,603,255,11,2,84,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
IN_VEHICLE,212,255,11,2,84,withImages,light-theme,miniCards,large-font,-2,-2,-2
IN_VEHICLE,212,255,11,2,84,withImages,dark-theme,miniCards,large-font,-2,-2,-2
IN_VEHICLE,537,255,11,2,84,noImages,dark-theme,xLargeCards,large-font,-2,-1,-2
ON_FOOT,4,125,12,1,87,withImages,light-theme,miniCards,large-font,2,2,2
STILL,11,125,13,1,81,withImages,light-theme,largeCards,large-font,2,2,2
STILL,11,125,13,1,81,withImages,light-theme,largeCards,large-font,2,2,2
STILL,10,125,13,1,80,withImages,dark-theme,gridView,small-font,1,1,1
STILL,58,255,16,1,19,noImages,dark-theme,largeCards,small-font,1,1,1
STILL,3,125,15,1,44,withImages,light-theme,xLargeCards,large-font,1,1,1
STILL,5,125,15,1,46,withImages,light-theme,xLargeCards,large-font,1,1,1
STILL,12,125,19,1,76,withImages,light-theme,largeCards,small-font,2,2,2
STILL,14,125,19,2,76,withImages,light-theme,largeCards,small-font,2,2,2
STILL,142,230,19,0,33,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,163,230,19,1,33,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,160,230,19,1,33,withImages,light-theme,largeCards,large-font,2,2,2
STILL,115,230,19,1,32,withImages,dark-theme,largeCards,large-font,1,1,1
STILL,53,230,19,1,32,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,178,230,19,1,32,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,186,230,19,1,32,withImages,light-theme,miniCards,large-font,1,1,1
STILL,3,209,20,1,22,noImages,light-theme,largeCards,small-font,2,2,2
STILL,166,230,5,1,26,noImages,dark-theme,largeCards,small-font,1,1,1
STILL,164,230,6,1,26,withImages,light-theme,miniCards,large-font,1,2,1
STILL,95,230,6,1,25,withImages,light-theme,miniCards,large-font,2,1,2
STILL,149,230,6,1,23,withImages,light-theme,largeCards,large-font,1,2,1
STILL,195,230,6,1,23,withImages,dark-theme,largeCards,large-font,2,1,2
STILL,194,230,6,1,23,withImages,dark-theme,largeCards,large-font,2,1,2
STILL,174,230,6,1,23,withImages,dark-theme,xLargeCards,large-font,0,0,0
STILL,174,230,6,1,22,withImages,dark-theme,xLargeCards,large-font,2,1,2
STILL,174,230,6,1,22,noImages,light-theme,largeCards,large-font,2,2,2
STILL,175,230,6,1,22,noImages,light-theme,largeCards,large-font,2,1,2
STILL,186,230,6,1,21,withImages,dark-theme,largeCards,large-font,1,2,1
ON_FOOT,23,98,9,2,87,withImages,dark-theme,largeCards,large-font,1,1,1
STILL,148,61,13,2,70,withImages,light-theme,largeCards,small-font,2,1,2
STILL,85,61,13,2,70,withImages,light-theme,largeCards,small-font,1,1,2
STILL,87,61,13,2,71,withImages,light-theme,largeCards,small-font,2,1,2
STILL,54,125,14,1,84,withImages,light-theme,miniCards,large-font,2,2,2
STILL,234,230,14,0,46,withImages,dark-theme,largeCards,small-font,1,2,1
STILL,229,230,14,0,46,withImages,light-theme,largeCards,small-font,0,1,0
STILL,25,230,14,1,46,withImages,light-theme,largeCards,large-font,2,2,2
STILL,157,230,14,0,46,withImages,light-theme,largeCards,small-font,1,2,1
STILL,155,230,14,1,46,withImages,light-theme,largeCards,small-font,0,0,2
STILL,155,230,14,0,46,withImages,dark-theme,miniCards,large-font,2,2,2
STILL,6,125,14,1,77,withImages,light-theme,miniCards,large-font,2,2,2
STILL,102,230,11,1,45,withImages,light-theme,largeCards,small-font,2,2,2
STILL,102,230,11,1,45,withImages,light-theme,largeCards,small-font,2,2,2
STILL,15,230,15,1,62,withImages,light-theme,largeCards,large-font,1,2,1
STILL,16,230,15,1,62,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,15,230,15,0,62,withImages,dark-theme,largeCards,small-font,2,1,2
STILL,15,230,15,1,62,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,13,230,15,1,62,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,14,230,15,1,61,noImages,light-theme,largeCards,large-font,2,1,2
STILL,12,230,15,0,61,noImages,dark-theme,largeCards,large-font,2,2,2
STILL,13,230,15,0,61,withImages,dark-theme,largeCards,large-font,0,0,0
STILL,15,230,15,0,61,noImages,dark-theme,largeCards,large-font,2,2,2
STILL,14,230,15,0,61,noImages,dark-theme,largeCards,large-font,2,2,2
STILL,13,230,15,1,60,noImages,dark-theme,largeCards,small-font,1,1,1
STILL,15,230,15,1,60,noImages,dark-theme,largeCards,small-font,2,2,2
STILL,15,230,15,1,59,withImages,light-theme,xLargeCards,small-font,2,2,2
ON_FOOT,44,125,1,2,46,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,3887,111,15,2,100,withImages,light-theme,gridView,small-font,2,2,2
STILL,16,46,19,2,98,withImages,dark-theme,largeCards,small-font,1,2,1
