user_activity,environmental_brightness,screen_brightness,time_of_day,internet_speed, battery_level,images,theme, layout,font_size,reference, readability,informativness
STILL,32,230,16,1,98,withImages,light-theme,largeCards,large-font,2,2,2
STILL,21,230,16,1,97,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,53,103,16,1,98,withImages,light-theme,largeCards,small-font,2,2,2
STILL,55,103,16,1,97,withImages,light-theme,largeCards,small-font,2,2,2
STILL,55,103,16,1,97,withImages,light-theme,gridView,small-font,0,-1,-1
STILL,53,103,16,1,97,withImages,light-theme,miniCards,small-font,1,2,2
STILL,53,103,16,2,97,withImages,light-theme,miniCards,small-font,1,1,1
STILL,2,103,17,2,88,withImages,dark-theme,miniCards,small-font,1,2,2
STILL,2,103,17,1,88,withImages,dark-theme,miniCards,small-font,1,2,2
STILL,14,230,19,1,94,withImages,light-theme,xLargeCards,large-font,2,1,2
STILL,65,125,20,1,94,withImages,dark-theme,gridView,small-font,-1,-1,1
STILL,38,125,21,1,92,withImages,dark-theme,largeCards,large-font,1,1,2
STILL,62,125,21,1,84,withImages,light-theme,miniCards,large-font,1,1,1
STILL,15,103,1,1,57,withImages,light-theme,miniCards,small-font,1,1,1
STILL,14,103,1,1,57,withImages,light-theme,miniCards,large-font,1,2,2
STILL,16,103,1,1,57,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,17,103,1,1,56,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,27,103,1,1,56,withImages,light-theme,largeCards,small-font,1,1,1
STILL,17,103,1,1,56,withImages,light-theme,largeCards,small-font,1,1,1
STILL,0,103,1,1,55,withImages,dark-theme,xLargeCards,small-font,2,1,1
STILL,0,103,1,1,55,withImages,dark-theme,xLargeCards,large-font,2,2,1
STILL,0,103,1,1,55,withImages,dark-theme,miniCards,large-font,1,1,2
STILL,0,103,1,2,55,withImages,dark-theme,miniCards,large-font,2,2,1
STILL,9,230,5,1,88,withImages,dark-theme,largeCards,large-font,1,1,2
STILL,26,230,5,1,88,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,15,230,5,1,88,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,14,230,5,0,87,withImages,light-theme,xLargeCards,small-font,1,1,2
